Time,DI1,DI2,DI3,DI4,DI5,DI6,I1L_valid,V1 [10nV],I1L [10pA],I1H [nA],V1,I1L,I1H
1550139520,1,0,1,1,1,0,1,133514,-92176,-499661,0.00133514,-9.2176E-07,-0.000499661
,1,0,1,1,1,0,1,133514,-89003,-500901,0.00133514,-8.9003E-07,-0.000500901
,1,0,1,1,1,0,1,133147,-91230,-499375,0.00133147,-9.123E-07,-0.000499375
,1,0,1,1,1,0,1,132291,-91826,-499534,0.00132291,-9.1826E-07,-0.000499534
,1,0,1,1,1,0,1,132169,-95227,-498898,0.00132169,-9.5227E-07,-0.000498898
,1,0,1,1,1,0,1,132414,-93456,-499788,0.00132414,-9.3456E-07,-0.000499788
,1,0,1,1,1,0,1,132169,-92772,-500774,0.00132169,-9.2772E-07,-0.000500774
,1,0,1,1,1,0,1,132658,-93176,-498008,0.00132658,-9.3176E-07,-0.000498008
,1,0,1,1,1,0,1,132536,-99434,-500361,0.00132536,-9.9434E-07,-0.000500361
,1,0,1,1,1,0,1,133269,-98593,-498612,0.00133269,-9.8593E-07,-0.000498612
,1,0,1,1,1,0,1,132780,-94911,-498072,0.0013278,-9.4911E-07,-0.000498072
,1,0,1,1,1,0,1,133514,-97751,-497976,0.00133514,-9.7751E-07,-0.000497976
,1,0,1,1,1,0,1,133147,-97611,-498072,0.00133147,-9.7611E-07,-0.000498072
,1,0,1,1,1,0,1,132780,-93684,-498485,0.0013278,-9.3684E-07,-0.000498485
,1,0,1,1,1,0,1,133392,-89231,-499725,0.00133392,-8.9231E-07,-0.000499725
,1,0,1,1,1,0,1,132780,-90581,-497341,0.0013278,-9.0581E-07,-0.000497341
,1,0,1,1,1,0,1,132414,-92422,-496705,0.00132414,-9.2422E-07,-0.000496705
,1,0,1,1,1,0,1,132536,-94490,-499820,0.00132536,-9.449E-07,-0.00049982
,1,0,1,1,1,0,1,132903,-98032,-498263,0.00132903,-9.8032E-07,-0.000498263
,1,0,1,1,1,0,1,133147,-98084,-497182,0.00133147,-9.8084E-07,-0.000497182
,1,0,1,1,1,0,1,132536,-99732,-498326,0.00132536,-9.9732E-07,-0.000498326
,1,0,1,1,1,0,1,132291,-101923,-500106,0.00132291,-1.01923E-06,-0.000500106
,1,0,1,1,1,0,1,133269,-103519,-498739,0.00133269,-1.03519E-06,-0.000498739
,1,0,1,1,1,0,1,133269,-101836,-500265,0.00133269,-1.01836E-06,-0.000500265
